role,panel,local_index,centre_x,centre_y,centre_z,signed_coefficient,signed_true_height,display_width_factor,display_height_factor,canonical_mesh_faces,panel_table,profile,display_centre_sign_height
151,18,7,3/4,13/8,0,-7,-7/10000,5,80,4/4,PASS,PASS,PASS
152,19,0,3/8,5/4,2,-7,-7/10000,5,80,4/4,PASS,PASS,PASS
153,19,1,3/8,7/4,2,-5,-1/2000,5,80,4/4,PASS,PASS,PASS
154,19,2,5/8,5/4,2,-8,-1/1250,5,80,4/4,PASS,PASS,PASS
155,19,3,5/8,7/4,2,-6,-3/5000,5,80,4/4,PASS,PASS,PASS
156,19,4,1/4,11/8,2,-3,-3/10000,5,80,4/4,PASS,PASS,PASS
157,19,5,1/4,13/8,2,-1,-1/10000,5,80,4/4,PASS,PASS,PASS
158,19,6,3/4,11/8,2,-4,-1/2500,5,80,4/4,PASS,PASS,PASS
159,19,7,3/4,13/8,2,-2,-1/5000,5,80,4/4,PASS,PASS,PASS
160,20,0,11/8,1/4,0,6,3/5000,5,80,4/4,PASS,PASS,PASS
161,20,1,11/8,3/4,0,8,1/1250,5,80,4/4,PASS,PASS,PASS
162,20,2,13/8,1/4,0,5,1/2000,5,80,4/4,PASS,PASS,PASS
163,20,3,13/8,3/4,0,7,7/10000,5,80,4/4,PASS,PASS,PASS
164,20,4,5/4,3/8,0,2,1/5000,5,80,4/4,PASS,PASS,PASS
165,20,5,5/4,5/8,0,4,1/2500,5,80,4/4,PASS,PASS,PASS
166,20,6,7/4,3/8,0,1,1/10000,5,80,4/4,PASS,PASS,PASS
167,20,7,7/4,5/8,0,3,3/10000,5,80,4/4,PASS,PASS,PASS
168,21,0,11/8,1/4,2,3,3/10000,5,80,4/4,PASS,PASS,PASS
169,21,1,11/8,3/4,2,4,1/2500,5,80,4/4,PASS,PASS,PASS
170,21,2,13/8,1/4,2,1,1/10000,5,80,4/4,PASS,PASS,PASS
171,21,3,13/8,3/4,2,2,1/5000,5,80,4/4,PASS,PASS,PASS
172,21,4,5/4,3/8,2,7,7/10000,5,80,4/4,PASS,PASS,PASS
173,21,5,5/4,5/8,2,8,1/1250,5,80,4/4,PASS,PASS,PASS
174,21,6,7/4,3/8,2,5,1/2000,5,80,4/4,PASS,PASS,PASS
175,21,7,7/4,5/8,2,6,3/5000,5,80,4/4,PASS,PASS,PASS
176,22,0,11/8,5/4,0,9,9/10000,5,80,4/4,PASS,PASS,PASS
177,22,1,11/8,7/4,0,10,1/1000,5,80,4/4,PASS,PASS,PASS
178,22,2,13/8,5/4,0,11,11/10000,5,80,4/4,PASS,PASS,PASS
179,22,3,13/8,7/4,0,12,3/2500,5,80,4/4,PASS,PASS,PASS
180,22,4,5/4,11/8,0,-9,-9/10000,5,80,4/4,PASS,PASS,PASS
181,22,5,5/4,13/8,0,-11,-11/10000,5,80,4/4,PASS,PASS,PASS
182,22,6,7/4,11/8,0,-10,-1/1000,5,80,4/4,PASS,PASS,PASS
183,22,7,7/4,13/8,0,-12,-3/2500,5,80,4/4,PASS,PASS,PASS
184,23,0,11/8,5/4,1,-12,-3/2500,5,80,4/4,PASS,PASS,PASS
185,23,1,11/8,7/4,1,-11,-11/10000,5,80,4/4,PASS,PASS,PASS
186,23,2,13/8,5/4,1,-10,-1/1000,5,80,4/4,PASS,PASS,PASS
187,23,3,13/8,7/4,1,-9,-9/10000,5,80,4/4,PASS,PASS,PASS
188,23,4,5/4,11/8,1,12,3/2500,5,80,4/4,PASS,PASS,PASS
189,23,5,5/4,13/8,1,10,1/1000,5,80,4/4,PASS,PASS,PASS
190,23,6,7/4,11/8,1,11,11/10000,5,80,4/4,PASS,PASS,PASS
191,23,7,7/4,13/8,1,9,9/10000,5,80,4/4,PASS,PASS,PASS
